REQ_ID,Category,Requirement_Text
REQ-001,ODD,"The system shall provide lane keeping assistance only when the road surface classification equals 'paved' based on camera image analysis."
REQ-002,ODD,"The system shall enable lane keeping assistance only when at least one lane marking has a detection confidence ≥ 0.75 on a 0–1 scale."
REQ-003,ODD,"The system shall allow activation of lane keeping assistance only when vehicle speed is ≥ 60 km/h."
REQ-004,ODD,"The system shall allow activation of lane keeping assistance only when vehicle speed is ≤ 190 km/h."
REQ-005,ODD,"The system shall deactivate lane keeping assistance when vehicle speed remains below 55 km/h for more than 2.0 seconds."
REQ-006,ODD,"The system shall transition to LDW-only mode if lane marking confidence remains below 0.50 for more than 1.0 second."
REQ-007,HMI,"When deactivation occurs due to ODD limits, the system shall display 'Lane Keeping Assist unavailable' for at least 4 seconds."
REQ-008,Sensing,"The system shall sample camera-based lane detection at a minimum frequency of 30 Hz."
REQ-009,Sensing,"The system shall use steering angle sensor data with a minimum update rate of 100 Hz."
REQ-010,Sensing,"The system shall use yaw rate sensor data with a minimum update rate of 100 Hz."
REQ-011,Sensing,"The system shall not require GNSS availability for lane keeping support."
REQ-012,Activation,"The driver shall activate or deactivate LKA using the steering wheel LKA button."
REQ-013,Activation,"The system shall enter Standby when LKA is ON, speed ≥ 60 km/h, and lane markings have confidence ≥ 0.75."
REQ-014,Activation,"The system shall activate steering assistance only after Standby for at least 0.5 seconds."
REQ-015,Activation,"The system shall ramp in steering torque over a duration of 0.3–0.6 seconds to avoid abrupt steering."
REQ-016,Activation,"The system shall automatically deactivate LKA when the driver presses the LKA OFF button."
REQ-017,Deactivation,"The system shall deactivate LKA when the driver applies steering torque ≥ 5.0 N·m for > 1.0 second."
REQ-018,Lane Change,"The system shall suspend steering support when a turn indicator is active and lateral acceleration exceeds 0.8 m/s²."
REQ-019,Lane Change,"The system shall resume steering support within 1.5 seconds after a lane change if lane markings are detected."
REQ-020,Driver Monitoring,"The system shall monitor steering wheel torque at a sampling rate of 100 Hz."
REQ-021,Driver Monitoring,"The system shall detect hands-off driving when driver-applied torque < 1.5 N·m for ≥ 7.0 seconds."
REQ-022,Driver Monitoring,"The system shall issue a first-level hands-off warning within 0.5 s after hands-off detection."
REQ-023,Driver Monitoring,"The first-level hands-off warning shall include a 75 ± 5 dB chime and a visual message 'Place hands on steering'."
REQ-024,Driver Monitoring,"The system shall issue an escalated hands-off warning if hands-on torque ≥ 1.5 N·m is not applied within 5.0 seconds after first-level warning."
REQ-025,Driver Monitoring,"The escalated warning shall include repeated chimes at 2 Hz and a flashing steering-wheel icon at 2 Hz."
REQ-026,Driver Monitoring,"The system shall deactivate LKA if no driver torque ≥ 1.5 N·m is detected for 15 seconds after the escalated warning begins."
REQ-027,Driver Monitoring,"The system shall cancel warnings within 0.5 seconds when driver torque ≥ 1.5 N·m is detected."
REQ-028,Performance,"The system shall maintain lateral position error within ±0.30 m from lane center at 130 km/h on straight roads under nominal conditions."
REQ-029,Performance,"The system shall limit lateral acceleration to ≤ 2.0 m/s² during cornering."
REQ-030,Performance,"The system shall limit lateral jerk to ≤ 1.0 m/s³ during steering corrections."
REQ-031,Performance,"The system shall limit applied steering torque to ≤ 3.0 N·m under normal lane centering operation."
REQ-032,Performance,"The system shall initiate lane departure correction when predicted lateral offset reaches ≥ 0.25 m from lane boundary within 1.0 second."
REQ-033,Performance,"The system shall differentiate solid, dashed, and road-edge markings and apply corrective torque only for solid and dashed lane lines."
REQ-034,Occupancy,"The system shall read blind-spot occupancy inputs with a minimum update rate of 20 Hz."
REQ-035,Occupancy,"The system shall treat a lane as occupied if any connected sensor reports occupancy = TRUE."
REQ-036,Occupancy,"The system shall not apply steering torque that would cause the vehicle to cross into an occupied adjacent lane."
REQ-037,Occupancy,"If occupancy data is unavailable for more than 0.5 seconds, the system shall ignore occupancy constraints and continue lane-based control."
REQ-038,Warning,"The LDW haptic warning shall vibrate the steering wheel at 120–160 Hz for 0.4–0.6 seconds."
REQ-039,Warning,"The system shall trigger LDW when predicted lane crossing time is ≤ 0.8 seconds and driver torque < 1.5 N·m."
REQ-040,Warning,"LDW shall not activate when the corresponding turn indicator has been active for at least 0.3 seconds."
REQ-041,Faults,"The system shall deactivate LKA within 0.2 seconds when the camera reports a critical failure state."
REQ-042,Faults,"The system shall display 'LKA malfunction' for at least 6 seconds when a critical fault is detected."
REQ-043,Faults,"The system shall store a diagnostic trouble code (DTC) within 0.1 seconds of detecting a camera or steering actuator fault."
REQ-044,Faults,"The system shall inhibit steering support if the steering actuator reports torque tracking error > 1.0 N·m for more than 0.5 seconds."
REQ-045,Faults,"The system shall record timestamped events for activation, deactivation, warnings, and faults with 1.0 ms resolution."
REQ-046,Regulations,"The system shall comply with UNECE R79 Class C lane keeping functionality requirements."
REQ-047,Regulations,"The system shall restrict user-configurable LDW sensitivity to two modes: Standard and Early."
REQ-048,Vehicle Config,"The system shall disable LKA when Trailer Mode is active."
REQ-049,Vehicle Config,"The system shall disable LKA when the tire diameter mismatch warning is active for more than 3 seconds."
REQ-050,Documentation,"The system shall provide OEM-approved descriptions, signal definitions, and state machine documentation suitable for AI system-knowledge training."
